Segment,Kategorie,Jméno produktu,ID Produktu,Výrobce,EAN,Item ID,Vaše URL,Heureka URL,E-shopů prodávajících produkt,Popularita,Vaše cena,Vaše pozice dle ceny,Vaše pozice dle biddingu,Cena za proklik,Nejnižší cena,PriceMin2,PriceMin3,PriceMin4,PriceMin5,PriceMin6,PriceMin7,PriceMin8,PriceMin9,PriceMin10,PriceMax10,PriceMax9,PriceMax8,PriceMax7,PriceMax6,PriceMax5,PriceMax4,PriceMax3,PriceMax2,Nejvyšší cena
"Auto-moto","Alkohol testery","Solight alkohol tester profi, 0,0 - 3,0‰ BAC, citlivost 0,1‰, barevný displej, automatické čištění, 1T04",23913657,"Solight",8595092123154,"1T04","https://www.solidni-obchod.cz/solight-alkohol-tester-profi-0-0--3-0-bac-citlivost-0-1--barevny-displej-automaticke-cisteni-detail-1G50000201.aspx","https://alkohol-testery.heureka.cz/solight-1t04",38,109,1018.00,5,,3.60,990.00,999.00,999.00,999.00,1018.00,1018.00,1018.00,1018.00,1018.00,1018.00,1206.00,1229.00,1259.00,1269.00,1283.00,1299.00,1399.00,1423.75,1424.00,1424.00,
"Auto-moto","Alkohol testery","Solight alkohol tester, 0,0 - 1,5‰ BAC, citlivost 0,2‰, 1T07",486142177,"Solight",8592718018955,"1T07","https://www.solidni-obchod.cz/solight-alkohol-tester-0-0--1-5-bac-citlivost-0-2--detail-5MO1000201.aspx","https://alkohol-testery.heureka.cz/solight-1t07",33,14,474.00,8,,2.40,443.50,444.00,450.00,455.00,469.00,469.00,471.00,474.00,474.00,474.00,499.00,563.00,566.00,575.00,597.00,599.00,649.00,663.75,664.00,664.00,
"Auto-moto","Alkohol testery","Solight alkohol tester, profesionální Fuel Cell, 0,0 - 4,0‰ BAC,citlivost 0,008‰, 1T06",486142176,"Solight",8592718018948,"1T06","https://www.solidni-obchod.cz/solight-alkohol-tester-profesionalni-fuel-cell-0-0--4-0-bac-citlivost-0-008--detail-4MO1000201.aspx","https://alkohol-testery.heureka.cz/solight-1t06",33,42,1500.00,9,,3.60,1458.00,1458.00,1459.00,1460.00,1461.00,1499.00,1499.00,1499.00,1500.00,1500.00,1777.00,1787.00,1815.00,1815.00,1819.00,1999.00,2098.75,2099.00,2099.00,2099.00,
"Auto-moto","Kamery do auta","Solight full HD kamera do auta, WiFi připojení, CC01",651949525,"Solight",8592718022679,"CC01","https://www.solidni-obchod.cz/solight-full-hd-kamera-do-auta-wifi-pripojeni-detail-1HZ1000201.aspx","https://cerne-skrinky.heureka.cz/solight-cc01",18,81,1385.00,9,,3.60,989.00,1150.00,1170.00,1170.00,1170.00,1199.00,1299.00,1332.60,1385.00,1385.00,1385.00,1385.00,1385.00,1386.00,1523.39,1688.75,1689.00,1689.00,2199.00,2501.00,
"Auto-moto","Měniče napětí","Solight invertor 12V, USB 500mA, kovový, černý, max. zatížení: 200W, IN05",35829994,"Solight",8595092129347,"IN05","https://www.solidni-obchod.cz/solight-invertor-12v-usb-500ma-kovovy-cerny-max-zatizeni-200w-detail-G440000201.aspx","https://menice-napeti.heureka.cz/solight-in05-12v-230v-200w-usb",3,7,754.00,2,,4.00,689.00,754.00,754.00,,,,,,,,,,,,,,,689.00,754.00,754.00,
"Bílé zboží","Čističky vzduchu a zvlhčovače","Dyson AM10 zvlhčovač vzduchu",317359712,"Dyson",5025155018651,"DS-303124-01","https://www.solidni-obchod.cz/dyson-am10-zvlhcovac-vzduchu-detail-1UD1000201.aspx","https://cisticky-vzduchu-a-zvlhcovace.heureka.cz/dyson-am10",35,63,12990.00,8,1.0,6.00,12488.00,12490.00,12606.00,12649.00,12653.00,12899.00,12954.00,12990.00,12990.00,12990.00,13999.00,13999.00,13999.00,13999.00,13999.00,13999.00,14002.00,14002.00,14419.00,15399.00,
"Bílé zboží","Čističky vzduchu a zvlhčovače","Dyson Pure Cool čistička vzduchu",638004016,"Dyson",5025155034354,"DS-248871-01","https://www.solidni-obchod.cz/dyson-pure-cool-cisticka-vzduchu-detail-1W12000201.aspx","https://cisticky-vzduchu-a-zvlhcovace.heureka.cz/dyson-pure-cool",14,117,11990.00,12,1.0,5.00,9990.00,9990.00,9990.00,9990.00,10990.00,10999.00,10999.00,11313.50,11320.00,11499.00,10990.00,10999.00,10999.00,11313.50,11320.00,11499.00,11499.00,11990.00,11990.00,11990.00,
"Bílé zboží","Čističky vzduchu a zvlhčovače","Dyson Pure Hot + Cool čistička vzduchu",459811114,"Dyson",5025155031889,"DS-310266-01","https://www.solidni-obchod.cz/dyson-pure-hot--cool-cisticka-vzduchu-detail-2IW1000201.aspx","https://cisticky-vzduchu-a-zvlhcovace.heureka.cz/dyson-pure-hot-plus-cool",4,91,12490.00,1,1.0,5.00,12490.00,12490.00,16990.00,16990.00,,,,,,,,,,,,,12490.00,12490.00,16990.00,16990.00,
"Bílé zboží","Domácí pekárny","Morphy Richards pekárna Premium Plus, MR-502000",626540511,"Morphy Richards",5011832059123,"MR-502000","https://www.solidni-obchod.cz/morphy-richards-pekarna-premium-plus-detail-1Q12000201.aspx","https://domaci-pekarny.heureka.cz/morphy-richards-502000",6,6,3899.00,1,,5.00,3899.00,3899.00,3899.00,3899.00,4167.00,5043.75,,,,,,,,,3899.00,3899.00,3899.00,3899.00,4167.00,5043.75,
"Bílé zboží","Domácí ventilátory","Dyson AM09 Hot + Cool",307267663,"Dyson",5025155020395,"DS-304550-01","https://www.solidni-obchod.cz/dyson-am09-hot--cool-detail-19D1000201.aspx","https://ventilatory.heureka.cz/dyson-am09",11,64,11499.00,7,,6.00,9289.00,9290.00,9290.00,9290.00,9290.00,9290.00,11499.00,11499.00,11499.00,11499.00,9290.00,9290.00,9290.00,9290.00,9290.00,11499.00,11499.00,11499.00,11499.00,11499.00,
